"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"290";"GM0453    ";"Velsen                                            ";"Velsen                                            ";"Noord-Holland                                     "
"291";"GM0983    ";"Venlo                                             ";"Venlo                                             ";"Limburg                                           "
"292";"GM0984    ";"Venray                                            ";"Venray                                            ";"Limburg                                           "
"293";"GM1961    ";"Vijfheerenlanden                                  ";"Vijfheerenlanden                                  ";"Utrecht                                           "
"294";"GM0622    ";"Vlaardingen                                       ";"Vlaardingen                                       ";"Zuid-Holland                                      "
"295";"GM0096    ";"Vlieland                                          ";"Vlieland                                          ";"Fryslân                                           "
"296";"GM0718    ";"Vlissingen                                        ";"Vlissingen                                        ";"Zeeland                                           "
"297";"GM0986    ";"Voerendaal                                        ";"Voerendaal                                        ";"Limburg                                           "
"298";"GM1992    ";"Voorne aan Zee                                    ";"Voorne aan Zee                                    ";"Zuid-Holland                                      "
"299";"GM0626    ";"Voorschoten                                       ";"Voorschoten                                       ";"Zuid-Holland                                      "
"300";"GM0285    ";"Voorst                                            ";"Voorst                                            ";"Gelderland                                        "
"301";"GM0865    ";"Vught                                             ";"Vught                                             ";"Noord-Brabant                                     "
"302";"GM1949    ";"Waadhoeke                                         ";"Waadhoeke                                         ";"Fryslân                                           "
"303";"GM0866    ";"Waalre                                            ";"Waalre                                            ";"Noord-Brabant                                     "
"304";"GM0867    ";"Waalwijk                                          ";"Waalwijk                                          ";"Noord-Brabant                                     "
"305";"GM0627    ";"Waddinxveen                                       ";"Waddinxveen                                       ";"Zuid-Holland                                      "
"306";"GM0289    ";"Wageningen                                        ";"Wageningen                                        ";"Gelderland                                        "
"307";"GM0629    ";"Wassenaar                                         ";"Wassenaar                                         ";"Zuid-Holland                                      "
"308";"GM0852    ";"Waterland                                         ";"Waterland                                         ";"Noord-Holland                                     "
"309";"GM0988    ";"Weert                                             ";"Weert                                             ";"Limburg                                           "
"310";"GM1960    ";"West Betuwe                                       ";"West Betuwe                                       ";"Gelderland                                        "
"311";"GM0668    ";"West Maas en Waal                                 ";"West Maas en Waal                                 ";"Gelderland                                        "
"312";"GM1969    ";"Westerkwartier                                    ";"Westerkwartier                                    ";"Groningen                                         "
"313";"GM1701    ";"Westerveld                                        ";"Westerveld                                        ";"Drenthe                                           "
"314";"GM0293    ";"Westervoort                                       ";"Westervoort                                       ";"Gelderland                                        "
"315";"GM1950    ";"Westerwolde                                       ";"Westerwolde                                       ";"Groningen                                         "
"316";"GM1783    ";"Westland                                          ";"Westland                                          ";"Zuid-Holland                                      "
"317";"GM0098    ";"Weststellingwerf                                  ";"Weststellingwerf                                  ";"Fryslân                                           "
"318";"GM0189    ";"Wierden                                           ";"Wierden                                           ";"Overijssel                                        "
"319";"GM0296    ";"Wijchen                                           ";"Wijchen                                           ";"Gelderland                                        "
"320";"GM1696    ";"Wijdemeren                                        ";"Wijdemeren                                        ";"Noord-Holland                                     "
"321";"GM0352    ";"Wijk bij Duurstede                                ";"Wijk bij Duurstede                                ";"Utrecht                                           "
"322";"GM0294    ";"Winterswijk                                       ";"Winterswijk                                       ";"Gelderland                                        "
"323";"GM0873    ";"Woensdrecht                                       ";"Woensdrecht                                       ";"Noord-Brabant                                     "
"324";"GM0632    ";"Woerden                                           ";"Woerden                                           ";"Utrecht                                           "
"325";"GM1690    ";"De Wolden                                         ";"Wolden De                                         ";"Drenthe                                           "
"326";"GM0880    ";"Wormerland                                        ";"Wormerland                                        ";"Noord-Holland                                     "
"327";"GM0351    ";"Woudenberg                                        ";"Woudenberg                                        ";"Utrecht                                           "
"328";"GM0479    ";"Zaanstad                                          ";"Zaanstad                                          ";"Noord-Holland                                     "
"329";"GM0297    ";"Zaltbommel                                        ";"Zaltbommel                                        ";"Gelderland                                        "
"330";"GM0473    ";"Zandvoort                                         ";"Zandvoort                                         ";"Noord-Holland                                     "
"331";"GM0050    ";"Zeewolde                                          ";"Zeewolde                                          ";"Flevoland                                         "
"332";"GM0355    ";"Zeist                                             ";"Zeist                                             ";"Utrecht                                           "
"333";"GM0299    ";"Zevenaar                                          ";"Zevenaar                                          ";"Gelderland                                        "
"334";"GM0637    ";"Zoetermeer                                        ";"Zoetermeer                                        ";"Zuid-Holland                                      "
"335";"GM0638    ";"Zoeterwoude                                       ";"Zoeterwoude                                       ";"Zuid-Holland                                      "
"336";"GM1892    ";"Zuidplas                                          ";"Zuidplas                                          ";"Zuid-Holland                                      "
"337";"GM0879    ";"Zundert                                           ";"Zundert                                           ";"Noord-Brabant                                     "
"338";"GM0301    ";"Zutphen                                           ";"Zutphen                                           ";"Gelderland                                        "
"339";"GM1896    ";"Zwartewaterland                                   ";"Zwartewaterland                                   ";"Overijssel                                        "
"340";"GM0642    ";"Zwijndrecht                                       ";"Zwijndrecht                                       ";"Zuid-Holland                                      "
"341";"GM0193    ";"Zwolle                                            ";"Zwolle                                            ";"Overijssel                                        "
